Location,Population,HighestInfectionCount,PercentPopulationInfected
Andorra,79843,23740,29.7333517
Montenegro,627082,170034,27.11511413
Gibraltar,32677,8701,26.62729137
Georgia,3744385,934741,24.96380581
San Marino,33690,8202,24.34550312
Slovakia,5643455,1371082,24.29508165
Czechia,10493990,2475729,23.59187497
Seychelles,107135,24788,23.13716339
Slovenia,2119843,464048,21.89067775
Mongolia,3398373,692621,20.38095877
Aruba,106459,20461,19.21960567
United Kingdom,67508936,12937886,19.1647014
Bahrain,1472237,282062,19.15873599
Lithuania,2750058,524427,19.06967053
Serbia,6871547,1299339,18.90897348
Cyprus,896007,166827,18.61893936
Maldives,523798,95700,18.27040195
Estonia,1326064,241408,18.20485286
Belgium,11655923,2105343,18.06243058
Netherlands,17564020,3153512,17.9543863
Croatia,4030361,715245,17.7464252
United States,338289856,54904654,16.23006219
Isle of Man,84534,13641,16.13670239
Luxembourg,647601,103766,16.0231377
Ireland,5023108,788559,15.69862722
Liechtenstein,39355,6131,15.57870664
Switzerland,8740471,1332615,15.24648958
French Polynesia,306292,46382,15.14306609
Latvia,1850654,276674,14.9500663
France,67813000,10018021,14.7730096
Israel,9449000,1383932,14.64633295
Austria,8939617,1270811,14.21549715
Monaco,36491,4985,13.66090269
Denmark,5882259,802397,13.64096685
Portugal,10270857,1389646,13.52999073
Lebanon,5489744,727930,13.25981685
Spain,47558632,6294745,13.23575708
Cayman Islands,68722,8818,12.8314077
Hungary,9967304,1256415,12.6053645
Bonaire Sint Eustatius and Saba,27052,3406,12.59056632
European Union,450146793,56207913,12.48657413
Sweden,10549349,1314784,12.46317664
Argentina,45510324,5654408,12.42445121
Armenia,2780472,344930,12.40544771
Uruguay,3422796,413383,12.07734846
Europe,744807803,88571262,11.89182788
Greece,10384972,1210853,11.65966552
Moldova,3272993,376155,11.49269186
Panama,4408582,495920,11.24896849
Curacao,191173,21325,11.15481789
British Virgin Islands,31332,3492,11.14515511
Turkey,85341248,9482550,11.11133271
Bulgaria,6781955,747108,11.01611556
Costa Rica,5180836,570556,11.01281724
High income,1250514600,137460728,10.99233292
Faeroe Islands,53117,5764,10.85151646
North America,600323657,65111842,10.84612296
North Macedonia,2093606,225049,10.74934825
Anguilla,15877,1674,10.54355357
Italy,59037472,6125683,10.37592362
Brazil,215313504,22291839,10.35320061
Poland,39857144,4108215,10.30734917
Barbados,281646,28565,10.14216428
Bermuda,64207,6420,9.998909776
Colombia,51874028,5157440,9.942239303
Malta,533293,52473,9.839431607
Kuwait,4268886,417135,9.771518846
Ukraine,39701744,3847226,9.690319901
Jordan,11285875,1063405,9.422441769
Dominica,72758,6814,9.365293164
Qatar,2695131,250528,9.29557784
Chile,19603736,1806494,9.215049621
Romania,19659270,1808891,9.201211439
South America,436816679,39772404,9.105056174
Kosovo,1782115,161484,9.061368094
Bosnia and Herzegovina,3233530,291313,9.009132434
Palestine,5250076,469748,8.947451427
Cuba,11212198,966004,8.615652346
Germany,83369840,7150422,8.576749098
Suriname,618046,52446,8.48577614
Botswana,2630300,219509,8.345397863
Malaysia,33938216,2758086,8.12678545
Belize,405285,32840,8.102939906
United Arab Emirates,9441138,761937,8.070393633
Saint Lucia,179872,13570,7.544253692
Albania,2842318,210224,7.39621675
Belarus,9534956,699110,7.332073688
Iceland,372903,27059,7.256310622
Norway,5434324,394259,7.254977804
Turks and Caicos Islands,45726,3284,7.181909636
Russia,144713312,10320405,7.131621036
Cape Verde,593162,41732,7.03551475
Iran,88550568,6194401,6.995326106
Paraguay,6780745,466101,6.873890701
Peru,34049588,2296831,6.745547112
Oman,4576300,305489,6.67545834
Saint Kitts and Nevis,47681,2999,6.289717078
Trinidad and Tobago,1531043,91899,6.002378771
Bahamas,409989,24476,5.969916266
Azerbaijan,10358078,616947,5.956191873
Tunisia,12356116,726706,5.881346533
Canada,38454328,2223735,5.782795112
South Africa,59893884,3458286,5.774021935
Namibia,2567024,147974,5.764418252
Fiji,929769,53332,5.736048416
Libya,6812344,388734,5.706317825
Saint Vincent and the Grenadines,103959,5850,5.627218423
Kazakhstan,19397998,1072518,5.52901387
Eswatini,1201680,66109,5.501381399
Mauritius,1299478,68480,5.269808338
Singapore,5637022,279405,4.95660652
Grenada,125459,6181,4.926709124
Bolivia,12224114,599753,4.906310592
Guyana,808727,39573,4.893245805
Finland,5540745,270829,4.887952793
Iraq,44496124,2093740,4.705443557
Greenland,56494,2611,4.621729741
Antigua and Barbuda,93772,4283,4.567461502
New Caledonia,289959,12826,4.423383996
Wallis and Futuna,11596,454,3.915143153
Dominican Republic,11228821,418778,3.72949217
Honduras,10432858,379402,3.636606575
World,7975105024,288738788,3.620501387
Guatemala,17843914,628359,3.521419124
Brunei,449002,15470,3.445418951
Vatican,808,27,3.341584158
Jamaica,2827382,93920,3.321800874
Upper middle income,2525921300,83368565,3.300521081
Mexico,127504120,3979723,3.121250513
Thailand,71697024,2223435,3.101153822
Ecuador,18001002,549418,3.052152319
Kyrgyzstan,6630621,184689,2.785395214
Nepal,30547586,828431,2.711936059
Sri Lanka,21832150,587245,2.68981754
Morocco,37457976,963092,2.571126641
Philippines,115559008,2843979,2.461062144
India,1417173120,34861579,2.459937922
Falkland Islands,3801,83,2.183635885
Lower middle income,3432097300,66091334,1.925683575
El Salvador,6336393,121945,1.924517624
Asia,4721383370,84937571,1.798997547
Vietnam,98186856,1731257,1.763226842
Gabon,2388997,41798,1.749604541
Sao Tome and Principe,227393,3897,1.713773071
Saint Pierre and Miquelon,5885,100,1.699235344
Australia,26177410,425496,1.625432004
Venezuela,28301700,444635,1.571054036
Indonesia,275501344,4262720,1.54725924
Saudi Arabia,36408824,556236,1.527750526
Timor,1341298,19837,1.478940549
Laos,7529477,111060,1.475002845
Japan,123951696,1733307,1.39837296
Oceania,45038860,588820,1.307359911
Zimbabwe,16320539,213258,1.306684785
Zambia,20017670,254274,1.270247736
Lesotho,2305826,28408,1.232009701
South Korea,51815808,635253,1.225983005
Djibouti,1120851,13656,1.218359978
Montserrat,4413,46,1.042374802
Myanmar,54179312,530834,0.979772501
Bangladesh,171186368,1585539,0.926206344
Mauritania,4736146,41473,0.875669796
Equatorial Guinea,1674916,13710,0.818548512
Rwanda,13776702,111786,0.811413356
Comoros,836783,6515,0.778577003
Cambodia,16767851,120493,0.718595364
Africa,1426736614,9756168,0.683810025
Uzbekistan,34627648,198903,0.574405169
Mozambique,32969520,189080,0.573499402
Pakistan,235824864,1295933,0.549531961
Kenya,54027484,295028,0.546070219
Algeria,44903228,218432,0.486450551
Senegal,17316452,75055,0.433431745
Ghana,33475870,142986,0.427131543
Cameroon,27914542,109367,0.391792206
Afghanistan,41128772,158084,0.38436353
Gambia,2705995,10170,0.37583218
Malawi,20405318,75075,0.367918795
Papua New Guinea,10142625,36158,0.356495483
Egypt,110990096,385575,0.347395861
Togo,8848700,30163,0.340874931
Ethiopia,123379928,420342,0.340689127
Bhutan,782457,2660,0.339954783
Congo,5970430,20089,0.336474927
Guinea-Bissau,2105580,6484,0.307943654
Uganda,47249588,140737,0.297858682
New Zealand,5185289,14118,0.272270263
Cote d'Ivoire,28160548,71004,0.25213998
Low income,737604900,1811644,0.245611709
Guinea,13859349,32051,0.231259058
Angola,35588996,81593,0.229264686
Syria,22125242,50278,0.227242712
Haiti,11585003,26169,0.225886864
Central African Republic,5579148,12163,0.218008198
Eritrea,3684041,8011,0.217451434
Burundi,12889583,27366,0.21231098
Nicaragua,6948395,13563,0.195196157
Benin,13352864,24935,0.186738965
Tajikistan,9952789,17493,0.175759779
Madagascar,29611718,50279,0.169794269
Hong Kong,7488863,12649,0.168904145
South Sudan,10913172,15242,0.139666084
Somalia,17597508,23532,0.133723479
Liberia,5302690,6278,0.11839274
Nigeria,218541216,241513,0.11051142
Sudan,46874200,46518,0.099240094
Mali,22593598,21008,0.092982092
Sierra Leone,8605723,7064,0.08208491
Burkina Faso,22673764,17632,0.077763886
Democratic Republic of Congo,99010216,74793,0.07554069
Saint Helena,5401,4,0.074060359
Taiwan,23893396,17029,0.071270739
Palau,18084,10,0.055297501
Tanzania,65497752,29306,0.04474352
Chad,17723312,5703,0.032177959
Yemen,33696612,10126,0.030050499
Niger,26207982,7405,0.028254751
Cook Islands,17032,2,0.011742602
Macao,695180,79,0.011363963
Marshall Islands,41593,4,0.009617003
China,1425887360,115168,0.008076935
Solomon Islands,724272,24,0.003313672
Vanuatu,326744,7,0.00214235
Kiribati,131237,2,0.00152396
Samoa,222390,3,0.001348982
Tonga,106867,1,0.000935743
Micronesia (country),114178,1,0.000875825
Guernsey,63329,0,0
Guam,171783,0,0
Jersey,110796,0,0
Northern Mariana Islands,49574,0,0
Niue,1952,0,0
Nauru,12691,0,0
Pitcairn,47,0,0
Puerto Rico,3252412,0,0
North Korea,26069416,0,0
Sint Maarten (Dutch part),44192,0,0
Tokelau,1893,0,0
Turkmenistan,6430777,0,0
Tuvalu,11335,0,0
United States Virgin Islands,99479,0,0
Northern Cyprus,382836,0,0
England,56550000,0,0
International,0,721,0
Northern Ireland,1896000,0,0
Scotland,5466000,0,0
Wales,3170000,0,0
